,Time,T_AVG
5777,2020-10-01,13.720833333333333
5778,2020-10-02,10.054166666666667
5779,2020-10-03,9.258333333333333
5780,2020-10-04,6.2250000000000005
5781,2020-10-05,10.383333333333335
5782,2020-10-06,9.025
5783,2020-10-07,13.720833333333333
5784,2020-10-08,9.979166666666666
5785,2020-10-09,9.625
5786,2020-10-10,17.445833333333333
5787,2020-10-11,12.975
5788,2020-10-12,10.970833333333333
5789,2020-10-13,10.645833333333334
5790,2020-10-14,7.441666666666666
5791,2020-10-15,15.0
5792,2020-10-16,8.966666666666667
5793,2020-10-17,3.591666666666667
5794,2020-10-18,5.520833333333333
5795,2020-10-19,11.041666666666666
5796,2020-10-20,12.604166666666666
5797,2020-10-21,13.966666666666667
5798,2020-10-22,14.339130434782609
5799,2020-10-23,16.583333333333332
5800,2020-10-24,11.679166666666667
5801,2020-10-25,4.016666666666667
5802,2020-10-26,8.045833333333333
5803,2020-10-27,6.6125
5804,2020-10-28,6.891666666666667
5805,2020-10-29,4.283333333333333
5806,2020-10-30,2.913333333333333
5807,2020-10-31,1.4958333333333333
5808,2020-11-01,3.5666666666666664
5809,2020-11-02,-0.1583333333333333
5810,2020-11-03,3.420833333333333
5811,2020-11-04,5.3500000000000005
5812,2020-11-05,11.783333333333333
5813,2020-11-06,11.979166666666666
5814,2020-11-07,9.0875
5815,2020-11-08,8.645833333333334
5816,2020-11-09,9.866666666666665
5817,2020-11-10,12.641666666666666
5818,2020-11-11,16.466666666666665
5819,2020-11-12,7.4125000000000005
5820,2020-11-13,1.5125
5821,2020-11-14,4.3
5822,2020-11-15,2.5208333333333335
5823,2020-11-16,5.558333333333334
5824,2020-11-17,1.4625000000000001
5825,2020-11-18,-4.325
5826,2020-11-19,-0.8791666666666668
5827,2020-11-20,9.700000000000001
5828,2020-11-21,7.520833333333333
5829,2020-11-22,-0.6833333333333332
5830,2020-11-23,4.3875
5831,2020-11-24,1.6624999999999999
5832,2020-11-25,2.7624999999999997
5833,2020-11-26,8.525
5834,2020-11-27,7.970833333333334
5835,2020-11-28,4.579166666666667
5836,2020-11-29,0.7083333333333334
5837,2020-11-30,4.833333333333333
5838,2020-12-01,5.145833333333333
5839,2020-12-02,-0.3666666666666667
5840,2020-12-03,-1.1458333333333333
5841,2020-12-04,4.891666666666667
5842,2020-12-05,2.9166666666666665
5843,2020-12-06,-2.4166666666666665
5844,2020-12-07,-3.1208333333333336
5845,2020-12-08,-3.920833333333333
5846,2020-12-09,-2.2125
5847,2020-12-10,2.0708333333333333
5848,2020-12-11,2.2125
5849,2020-12-12,4.383333333333334
5850,2020-12-13,7.304166666666666
5851,2020-12-14,0.3666666666666667
5852,2020-12-15,-3.2458333333333336
5853,2020-12-16,-7.6499999999999995
5854,2020-12-17,-7.154166666666666
5855,2020-12-18,-6.304166666666667
5856,2020-12-19,-13.725
5857,2020-12-20,-3.0625
5858,2020-12-21,0.5833333333333334
5859,2020-12-22,0.7041666666666666
5860,2020-12-23,-0.30434782608695654
5861,2020-12-24,4.2250000000000005
5862,2020-12-25,3.2875
5863,2020-12-26,-6.016666666666667
5864,2020-12-27,-4.5375000000000005
5865,2020-12-28,0.2041666666666667
5866,2020-12-29,-2.2375000000000003
5867,2020-12-30,-4.7375
5868,2020-12-31,0.7999999999999999
5869,2021-01-01,-1.1624999999999999
5870,2021-01-02,0.8333333333333334
5871,2021-01-03,-0.875
5872,2021-01-04,-0.24166666666666667
5873,2021-01-05,-0.8041666666666667
5874,2021-01-06,-1.3375000000000001
5875,2021-01-07,-2.8625000000000003
5876,2021-01-08,-5.333333333333333
5877,2021-01-09,-6.6499999999999995
5878,2021-01-10,-4.1875
5879,2021-01-11,-3.8874999999999997
5880,2021-01-12,-1.4791666666666667
5881,2021-01-13,-1.7583333333333335
5882,2021-01-14,-0.6291666666666667
5883,2021-01-15,1.0666666666666667
5884,2021-01-16,0.6208333333333333
5885,2021-01-17,0.11666666666666668
5886,2021-01-18,-0.7166666666666667
5887,2021-01-19,-1.7666666666666666
5888,2021-01-20,-3.766666666666667
5889,2021-01-21,-5.6499999999999995
5890,2021-01-22,-0.5708333333333333
5891,2021-01-23,-7.229166666666667
5892,2021-01-24,-9.424999999999999
5893,2021-01-25,-12.070833333333333
5894,2021-01-26,-5.220833333333333
5895,2021-01-27,-2.9958333333333336
5896,2021-01-28,-8.179166666666667
5897,2021-01-29,-11.983333333333334
5898,2021-01-30,-10.279166666666667
5899,2021-01-31,-12.679166666666667
5900,2021-02-01,-5.608333333333333
5901,2021-02-02,-6.166666666666667
5902,2021-02-03,-4.245833333333333
5903,2021-02-04,-3.5833333333333335
5904,2021-02-05,-0.9666666666666667
5905,2021-02-06,-2.3833333333333333
5906,2021-02-07,-9.5875
5907,2021-02-08,-13.141666666666666
5908,2021-02-09,-7.416666666666667
5909,2021-02-10,-7.945833333333333
5910,2021-02-11,-8.125
5911,2021-02-12,-14.166666666666666
5912,2021-02-13,-11.266666666666666
5913,2021-02-14,-5.6125
5914,2021-02-15,-6.966666666666666
5915,2021-02-16,-1.4666666666666668
5916,2021-02-17,-9.25
5917,2021-02-18,-8.4375
5918,2021-02-19,-4.970833333333333
5919,2021-02-20,-5.3625
5920,2021-02-21,-6.3304347826086955
5921,2021-02-22,-4.129166666666666
5922,2021-02-23,-0.6416666666666666
5923,2021-02-24,2.954166666666666
5924,2021-02-25,1.5958333333333334
5925,2021-02-26,-4.7250000000000005
5926,2021-02-27,1.3304347826086957
5927,2021-02-28,-0.3374999999999999
5928,2021-03-01,2.0208333333333335
5929,2021-03-02,-9.354166666666666
5930,2021-03-03,-5.079166666666667
5931,2021-03-04,-1.625
5932,2021-03-05,-7.158333333333334
5933,2021-03-06,-6.216666666666666
5934,2021-03-07,-7.039130434782609
5935,2021-03-08,-10.183333333333334
5936,2021-03-09,4.358333333333333
5937,2021-03-10,2.0565217391304347
5938,2021-03-11,9.266666666666667
5939,2021-03-12,8.983333333333333
5940,2021-03-13,-1.0875000000000001
5941,2021-03-14,-1.850371707708594e-17
5942,2021-03-15,-6.579166666666667
5943,2021-03-16,-4.970833333333333
5944,2021-03-17,1.9624999999999997
5945,2021-03-18,3.216666666666667
5946,2021-03-19,-2.1708333333333334
5947,2021-03-20,-0.6625
5948,2021-03-21,3.279166666666667
5949,2021-03-22,5.670833333333333
5950,2021-03-23,6.795833333333333
5951,2021-03-24,9.191666666666666
5952,2021-03-25,14.6625
5953,2021-03-26,15.095833333333333
5954,2021-03-27,6.533333333333334
5955,2021-03-28,9.049999999999999
5956,2021-03-29,3.0
5957,2021-03-30,5.095833333333333
5958,2021-03-31,10.975
5959,2021-04-01,0.6
5960,2021-04-02,-4.133333333333334
5961,2021-04-03,-0.6291666666666667
5962,2021-04-04,5.820833333333333
5963,2021-04-05,4.495833333333334
5964,2021-04-06,4.691666666666666
5965,2021-04-07,11.416666666666666
5966,2021-04-08,12.283333333333333
5967,2021-04-09,14.183333333333332
5968,2021-04-10,15.095833333333333
5969,2021-04-11,14.554166666666667
5970,2021-04-12,8.8375
5971,2021-04-13,8.733333333333333
5972,2021-04-14,10.129166666666666
5973,2021-04-15,7.2250000000000005
5974,2021-04-16,2.891666666666667
5975,2021-04-17,4.613043478260869
5976,2021-04-18,7.741666666666667
5977,2021-04-19,7.508333333333333
5978,2021-04-20,5.991666666666667
5979,2021-04-21,1.0125
5980,2021-04-22,-1.1833333333333333
5981,2021-04-23,3.7624999999999997
5982,2021-04-24,9.6875
5983,2021-04-25,10.525
5984,2021-04-26,3.0124999999999997
5985,2021-04-27,7.3125
5986,2021-04-28,15.895833333333334
5987,2021-04-29,12.920833333333334
5988,2021-04-30,9.216666666666667
5989,2021-05-01,3.8541666666666665
5990,2021-05-02,13.325000000000001
5991,2021-05-03,11.883333333333333
5992,2021-05-04,15.066666666666668
5993,2021-05-05,13.2875
5994,2021-05-06,7.9375
5995,2021-05-07,5.433333333333334
5996,2021-05-08,5.104166666666667
5997,2021-05-09,5.845833333333334
5998,2021-05-10,6.679166666666667
5999,2021-05-11,5.633333333333333
6000,2021-05-12,7.904166666666666
6001,2021-05-13,8.470833333333333
6002,2021-05-14,10.270833333333334
6003,2021-05-15,11.708333333333334
6004,2021-05-16,12.520833333333334
6005,2021-05-17,14.520833333333334
6006,2021-05-18,14.6875
6007,2021-05-19,16.879166666666666
6008,2021-05-20,19.758333333333333
6009,2021-05-21,21.641666666666666
6010,2021-05-22,20.095833333333335
6011,2021-05-23,19.666666666666668
6012,2021-05-24,13.7875
6013,2021-05-25,17.654166666666665
6014,2021-05-26,21.033333333333335
6015,2021-05-27,15.170833333333334
6016,2021-05-28,8.262500000000001
6017,2021-05-29,6.6625000000000005
6018,2021-05-30,8.258333333333333
6019,2021-05-31,11.7875
6020,2021-06-01,13.820833333333333
6021,2021-06-02,14.237499999999999
6022,2021-06-03,17.4875
6023,2021-06-04,19.945833333333333
6024,2021-06-05,22.27916666666667
6025,2021-06-06,21.570833333333336
6026,2021-06-07,22.6875
6027,2021-06-08,22.962500000000002
6028,2021-06-09,22.145833333333332
6029,2021-06-10,20.370833333333334
6030,2021-06-11,17.995833333333334
6031,2021-06-12,18.945833333333333
6032,2021-06-13,19.6125
6033,2021-06-14,20.466666666666665
6034,2021-06-15,14.341666666666667
6035,2021-06-16,13.512500000000001
6036,2021-06-17,12.741666666666667
6037,2021-06-18,16.104166666666668
6038,2021-06-19,22.65416666666667
6039,2021-06-20,19.4375
6040,2021-06-21,23.587500000000002
6041,2021-06-22,15.329166666666666
6042,2021-06-23,11.633333333333333
6043,2021-06-24,16.041666666666668
6044,2021-06-25,18.483333333333334
6045,2021-06-26,21.741666666666664
6046,2021-06-27,25.2625
6047,2021-06-28,25.891666666666666
6048,2021-06-29,24.875
6049,2021-06-30,23.2
6050,2021-07-01,20.454166666666666
6051,2021-07-02,18.233333333333334
6052,2021-07-03,17.054166666666667
6053,2021-07-04,16.349999999999998
6054,2021-07-05,18.2375
6055,2021-07-06,24.252173913043475
6056,2021-07-07,22.595652173913045
6057,2021-07-08,20.995833333333334
6058,2021-07-09,21.412499999999998
6059,2021-07-10,18.712500000000002
6060,2021-07-11,16.5125
6061,2021-07-12,19.099999999999998
6062,2021-07-13,23.795833333333334
6063,2021-07-14,21.645833333333332
6064,2021-07-15,22.116666666666664
6065,2021-07-16,22.166666666666668
6066,2021-07-17,21.2
6067,2021-07-18,18.5
6068,2021-07-19,19.408333333333335
6069,2021-07-20,21.212500000000002
6070,2021-07-21,18.145833333333332
6071,2021-07-22,15.887500000000001
6072,2021-07-23,16.8
6073,2021-07-24,17.212500000000002
6074,2021-07-25,22.679166666666664
6075,2021-07-26,19.925
6076,2021-07-27,19.408333333333335
6077,2021-07-28,18.912499999999998
6078,2021-07-29,16.087500000000002
6079,2021-07-30,18.391666666666666
6080,2021-07-31,13.533333333333333
6081,2021-08-01,15.0625
6082,2021-08-02,16.712500000000002
6083,2021-08-03,14.487499999999999
6084,2021-08-04,16.145833333333332
6085,2021-08-05,17.575
6086,2021-08-06,19.454166666666666
6087,2021-08-07,21.59583333333333
6088,2021-08-08,21.849999999999998
6089,2021-08-09,22.55
6090,2021-08-10,23.337500000000002
6091,2021-08-11,25.15416666666667
6092,2021-08-12,25.116666666666664
6093,2021-08-13,24.120833333333334
6094,2021-08-14,21.025
6095,2021-08-15,15.854166666666666
6096,2021-08-16,16.329166666666666
6097,2021-08-17,21.1375
6098,2021-08-18,22.066666666666666
6099,2021-08-19,21.791666666666668
6100,2021-08-20,21.412499999999998
6101,2021-08-21,21.608333333333334
